APPRID,RECEIVERS,REGISTDATE,TITLE,DRAFTDEPTNAME,DRAFTERNAME,DRAFTDATE,APPROVALDATE
HR_복리후생규정(애자일소다_22년6월),전직원,2022-06-01 9:00,HR_복리후생규정,경영지원실,박용수,2022-01-01 9:00,2022-01-01 9:00
취업규칙_개정후(2024.09),전직원,2024-09-01 9:00,취업규칙,경영지원실,박용수,2021-12-30 9:00,2022-01-03 9:00
애자일소다 위임전결규정_20240901,전직원,2024-09-01 9:00,위임전결규정,경영지원실,박용수,2024-09-01 9:00,2024-09-01 9:00
위임전결표 신구 대비표_202409,전직원,2024-09-01 9:00,위임전결표 신구 대비표,경영지원실,박용수,2024-09-01 9:00,2024-09-01 9:00
프로젝트 지원금 신청관련 진행절차 (변경)안내_2025,전직원,2025-08-01 9:00,프로젝트 지원금 신청관련 진행절차,경영지원실,박용수,2025-08-01 9:00,2025-08-01 9:00
[(주)애자일소다-2020-1693]프로젝트 지원금(예산)  신청서 샘플 입니다.,전직원,2025-08-01 9:00,프로젝트 지원금(예산)  신청서 샘플,경영지원실,박용수,2025-08-01 9:00,2025-08-01 9:00
(안내)전사 경비 처리 관련 공지사항(25.04.18) - 인쇄,전직원,2025-04-18 9:00,전사 경비 처리 관련 공지사항,경영지원실,박용수,2025-04-18 9:00,2025-04-18 9:00
2025년 7월 경비마감 안내,전직원,2025-07-28 9:00,경비마감 안내,경영지원실,박용수,2025-07-28 9:00,2025-07-28 9:00
개인경비 증빙안내,전직원,2023-01-01 9:00,개인경비 증빙안내,경영지원실,박용수,2023-01-01 9:00,2023-01-01 9:00
계좌지정 법인카드 지출결의서 메뉴얼_230613,전직원,2023-06-13 9:00,계좌지정 법인카드 지출결의서 메뉴얼,경영지원실,박용수,2023-06-13 9:00,2023-06-13 9:00
지출결의서 작성 가이드_2025,전직원,2025-01-01 9:00,지출결의서 작성 가이드,경영지원실,박용수,2025-01-01 9:00,2025-01-01 9:00
지출결의서 증빙수정 방법,전직원,2025-01-01 9:00,지출결의서 증빙수정 방법,경영지원실,박용수,2025-01-01 9:00,2025-01-01 9:00
지출결의서 증빙수정 방법_양식변경,전직원,2025-01-01 9:00,지출결의서 증빙수정 방법(수정),경영지원실,박용수,2025-01-01 9:00,2025-01-01 9:00
사내동호회_운영_지원안(22년 6월 수정),전직원,2022-06-01 9:00,사내동호회 운영 지원안,경영지원실,박용수,2022-06-01 9:00,2022-06-01 9:00
애자일소다 사내강사양성제도규정_18.09.20,전직원,2018-09-20 9:00,사내강사양성제도규정,경영지원실,박용수,2018-09-20 9:00,2018-09-20 9:00
신규채용사내추천제도(21년6월),전직원,2021-06-01 9:00,신규채용 사내추천 제도,경영지원실,박용수,2021-06-01 9:00,2021-06-01 9:00
애자일소다 고정자산관리 규정_200304,전직원,2020-03-04 9:00,고정자산관리 규정,경영지원실,박용수,2020-03-04 9:00,2020-03-04 9:00
애자일소다 직무발명규정_18.02.07,전직원,2018-02-07 9:00,직무발명규정,경영지원실,박용수,2018-02-07 9:00,2018-02-07 9:00
